City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
412,fort stockton,30.894,-102.8793,70.75400000000005,33,0,0.0,US,1706648184
413,maribo,54.7766,11.5002,45.95,93,100,7.81,DK,1706648184
414,esens,53.6487,7.6127,44.6,94,75,7.72,DE,1706648185
415,plymouth,41.8334,-70.8328,29.98399999999999,72,100,4.63,US,1706648185
416,kenai,60.5544,-151.2583,1.1480000000000246,83,75,1.54,US,1706647890
417,canada de gomez,-32.8164,-61.3949,100.22000000000007,16,0,3.56,AR,1706648185
418,hasaki,35.7333,140.8333,35.99600000000005,67,68,0.45,JP,1706648047
419,puerto lempira,15.2667,-83.7667,82.54400000000007,78,75,5.14,HN,1706648186
420,port douglas,-16.4833,145.4667,82.22000000000006,84,100,2.64,AU,1706648186
421,calama,-22.4667,-68.9333,84.68600000000006,14,0,10.8,CL,1706648186
422,afif,23.9065,42.9172,58.64000000000002,25,45,2.56,SA,1706648186
423,fortuna,40.5982,-124.1573,72.35600000000002,39,0,10.29,US,1706648186
424,al jawf,29.5,38.75,49.85600000000003,42,1,2.03,SA,1706648186
425,kavieng,-2.5744,150.7967,82.58000000000004,78,100,3.79,PG,1706648186
426,usogorsk,63.4106,48.6872,26.672000000000036,89,93,3.51,RU,1706648186
427,ust'-kut,56.7938,105.7672,-34.38399999999994,100,48,0.6,RU,1706648187
428,grand rapids,42.9634,-85.6681,38.04800000000002,96,100,2.06,US,1706647952
429,tchaourou,8.8865,2.5975,85.51400000000004,20,51,1.65,BJ,1706648187
430,melfi,40.9965,15.6514,34.483999999999995,87,0,1.08,IT,1706648187
431,salekhard,66.53,66.6019,4.099999999999998,96,100,4.04,RU,1706648168
432,naantali,60.4674,22.0243,33.38600000000007,99,100,3.6,FI,1706648187
433,kayangel,8.0823,134.7173,80.99600000000005,82,51,10.78,PW,1706648187
434,kozhevnikovo,56.2589,83.9714,-6.051999999999978,100,95,2.0,RU,1706648188
435,lebork,54.5392,17.7501,40.91000000000008,75,100,3.95,PL,1706648188
436,hotan,37.0997,79.9269,29.33600000000007,51,100,2.37,CN,1706648188
437,kailua-kona,19.6406,-155.9956,80.51000000000008,83,100,4.12,US,1706647899
438,lerwick,60.1545,-1.1494,46.4,81,100,14.69,GB,1706648188
439,ambovombe,-25.1667,46.0833,73.97600000000008,80,67,8.27,MG,1706648188
440,las heras,-46.5419,-68.9359,79.17800000000007,23,50,13.96,AR,1706648188
441,karratha,-20.7377,116.8463,79.91600000000001,76,77,2.17,AU,1706648188
442,antonio enes,-16.2325,39.9086,79.05200000000008,74,60,1.09,MZ,1706648189
